file	klass	player	mode	frames	move_nonzero_frac	move_active_frac	med_yaw_delta	max_yaw_delta	yaw_jump_frac	duration_s	cmd_rate	eof_clean
smackdown2__FF_4K_1_dm3_Pietro.qwd	self_pov	pietro	team/4on4	89592	0.773	0.7585	0.659	152.75	0.0001	1254.344971	71.425	True
smackdown__vana_e_vs_ff_dm3_2.qwd	self_pov	vana	team/4on4	89555	0.7607	0.7537	0.225	178.56	0.0005	1255.866943	71.309	True
smackdown__amd_jod_1_dm3_glad.qwd	self_pov	glad	team/4on4	89426	0.7929	0.7816	0.33	175.5	0.0003	1253.350952	71.35	True
smackdown__amd_sas_1_dm3_vovik.qwd	self_pov	vovik	team/4on4	89426	0.7557	0.7557	0.264	171.83	0.0003	1253.52002	71.34	True
smackdown2__chtv-smackdown2-daltons-vs-firingsquad-dm3-2-rat.qwd	self_pov	rat	team/4on4	89266	0.7289	0.7289	0.439	177.46	0.0005	1224.083984	72.925	True
SmackDown4__game_743__fs__tot_2_dm3_crit___.qwd	self_pov	crit	team/4on4	89190	0.8167	0.8087	0.401	174.94	0.0004	1248.286011	71.45	True
quakeworld__CHTV_Tribe_of_Tjernobyl-Sweden_Various-Sweden_Various_Various_QW_4v4__4on4_tot_vs_e_dm3_oddjob.qwd	self_pov	oddjob	team/4on4	89065	0.7592	0.7536	0.483	176.46	0.0004	1246.602051	71.446	True
smackdown__tot_oddjob_tot_vs___e__dm3_2.qwd	self_pov	tot	team/4on4	89065	0.7592	0.7536	0.483	176.46	0.0004	1246.602051	71.446	True
SmackDown3__game_588_Diva_TOT_2_DM3_circle.qwd	self_pov	circle	team/4on4	89033	0.7554	0.743	0.181	179.75	0.0005	1246.829956	71.407	True
SmackDown3__game_433_Quad_TOT_2_DM3_oddjob.qwd	self_pov	oddjob	team/4on4	88948	0.7758	0.7684	0.396	160.36	0.0002	1244.916992	71.449	True
quakeworld__CHTV_DBP-Europe_SK-Europe__dm3_QuakeWorld_4v4__m8.qwd	self_pov	m8	team/4on4	88886	0.8202	0.8202	0.004	174.03	0.0002	1240.1875	71.671	True
SmackDown3__game_430_ED_Para_2_DM3_Jac.qwd	self_pov	jac	team/4on4	88834	0.8389	0.8308	0.527	180.0	0.0005	1243.687988	71.428	True
SmackDown3__game_440_TOT_WR_1_DM3_Slabby_voice_.qwd	self_pov	slabby	team/4on4	88815	0.7585	0.7514	0.357	174.85	0.0003	1243.175049	71.442	True
quakeworld__CHTV_Tribe_of_Tjernobyl-Sweden_Various-Sweden_Various_Various_QW_4v4__4on4_tot_vs_wr_dm3_slabby.qwd	self_pov	slabby	team/4on4	88815	0.7585	0.7514	0.357	174.85	0.0003	1243.175049	71.442	True
smackdown2__FF_OC_1_dm3_Exile.qwd	self_pov	exile	team/4on4	88786	0.7391	0.7246	0.401	168.62	0.0001	1242.637939	71.45	True
SmackDown3__game_326_WR_QH_1_DM3_Matsui.qwd	self_pov	matsui	team/4on4	88754	0.7678	0.7678	0.181	179.4	0.0003	1243.525024	71.373	True
SmackDown4__game_726_thdm_if_1_dm3_nevamind.qwd	self_pov	nevamind	team/4on4	88743	0.778	0.7746	0.659	179.98	0.0003	1247.704956	71.125	True
smackdown2__FF_OC_1_dm3_Dag.qwd	self_pov	dag	team/4on4	88687	0.9998	0.7738	0.352	179.93	0.0002	1241.662964	71.426	True
smackdown2__chtv-smackdown2-daltons-vs-firingsquad-dm3-rat.qwd	self_pov	rat	team/4on4	88675	0.7666	0.7666	0.439	176.64	0.0006	1218.615967	72.767	True
SmackDown3__game_601_FA_List_2_DM3_blind.qwd	self_pov	blind	team/4on4	88673	0.7328	0.7259	0.396	176.95	0.0003	1241.505005	71.424	True
